,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index,error_message,profit
0,4,804.0,3209,tt0487156,movie,In Her Line of Fire,In Her Line of Fire,0,2006,\N,88,"Action,Drama",in her line of fire,2006-04-21,In Her Line of Fire,1000000.0,884.0,884.0,Regent Releasing,R,Action,1,3.6,1074.0,3.1153846153846154,,-999116.0
1,6,806.0,11460,tt1390411,movie,In the Heart of the Sea,In the Heart of the Sea,0,2015,\N,122,"Action,Adventure,Biography",in the heart of the sea,2015-12-11,In the Heart of the Sea,100000000.0,25020758.0,89693309.0,Warner Bros.,PG-13,Adventure,1,6.9,146203.0,5.230769230769231,The request failed: Google returned a response with code 429,-10306691.0
4,45,845.0,1204,tt0211443,movie,Jason X,Jason X,0,2001,\N,92,"Action,Horror,Sci-Fi",jason x,2002-04-26,Jason X,14000000.0,13121555.0,16951798.0,New Line,R,Horror,1,4.4,60445.0,5.846153846153846,The request failed: Google returned a response with code 500,2951798.0
5,47,847.0,1499,tt0263488,movie,Jeepers Creepers,Jeepers Creepers,0,2001,\N,90,"Horror,Mystery",jeepers creepers,2001-08-31,Jeepers Creepers,10000000.0,37904175.0,58939035.0,MGM,R,Horror,1,6.2,139482.0,6.557692307692308,The request failed: Google returned a response with code 429,48939035.0
6,50,850.0,1785,tt0300051,movie,Jersey Girl,Jersey Girl,0,2004,\N,102,"Comedy,Drama,Romance",jersey girl,2004-03-26,Jersey Girl,35000000.0,25266129.0,37066129.0,Miramax,PG-13,Comedy,1,6.2,68671.0,29.25,The request failed: Google returned a response with code 429,2066129.0
10,57,857.0,19285,tt2382396,movie,Joe,Joe,0,2013,\N,117,"Crime,Drama,Thriller",joe,2014-04-11,Joe,4000000.0,373375.0,373375.0,Roadside Attractions,R,Drama,1,6.8,50578.0,2.8076923076923075,The request failed: Google returned a response with code 500,-3626625.0
12,62,862.0,1569,tt0274166,movie,Johnny English,Johnny English,0,2003,\N,89,"Action,Adventure,Comedy",johnny english,2003-07-18,Johnny English,45000000.0,28013509.0,163126676.0,Universal,PG,Adventure,1,6.2,170909.0,21.53846153846154,The request failed: Google returned a response with code 429,118126676.0
13,66,866.0,1770,tt0298388,movie,Jonah: A VeggieTales Movie,Jonah: A VeggieTales Movie,0,2002,\N,82,"Adventure,Animation,Comedy",jonah a veggietales movie,2002-10-04,Jonah: A VeggieTales Movie,14000000.0,25571351.0,25608779.0,Artisan,G,Adventure,1,6.4,4448.0,20.57692307692308,The request failed: Google returned a response with code 429,11608779.0
14,68,868.0,11546,tt1397514,movie,Journey 2: The Mysterious Island,Journey 2: The Mysterious Island,0,2012,\N,94,"Action,Adventure,Comedy",journey  the mysterious island,2012-02-10,Journey 2: The Mysterious Island,79000000.0,103860290.0,318146162.0,Warner Bros.,PG,Adventure,1,5.7,110015.0,10.288461538461538,The request failed: Google returned a response with code 429,239146162.0
15,78,878.0,983,tt0163025,movie,Jurassic Park III,Jurassic Park III,0,2001,\N,92,"Action,Adventure,Sci-Fi",jurassic park iii,2001-07-18,Jurassic Park III,93000000.0,181166115.0,365900000.0,Universal,PG-13,Action,1,5.9,335818.0,4.826923076923077,The request failed: Google returned a response with code 429,272900000.0
17,86,886.0,1472,tt0257568,movie,Kangaroo Jack,Kangaroo Jack,0,2003,\N,89,"Action,Adventure,Comedy",kangaroo jack,2003-01-17,Kangaroo Jack,60000000.0,66723216.0,90723216.0,Warner Bros.,PG,Adventure,1,4.5,33183.0,44.30769230769231,The request failed: Google returned a response with code 500,30723216.0
29,160,960.0,1915,tt0318155,movie,Looney Tunes: Back in Action,Looney Tunes: Back in Action,0,2003,\N,93,"Adventure,Animation,Comedy",looney tunes back in action,2003-11-14,Looney Tunes: Back in Action,80000000.0,20950820.0,54540662.0,Warner Bros.,PG,Adventure,1,5.8,39725.0,36.78846153846154,The request failed: Google returned a response with code 500,-25459338.0
35,75,1175.0,5067,tt0785007,movie,Over Her Dead Body,Over Her Dead Body,0,2008,\N,95,"Comedy,Fantasy,Romance",over her dead body,2008-02-01,Over Her Dead Body,10000000.0,7570127.0,21596074.0,New Line,PG-13,Comedy,1,5.2,25248.0,18.73076923076923,The request failed: Google returned a response with code 429,11596074.0
36,78,1178.0,19860,tt2557478,movie,Pacific Rim: Uprising,Pacific Rim: Uprising,0,2018,\N,111,"Action,Adventure,Sci-Fi",pacific rim uprising,2018-03-23,Pacific Rim: Uprising,155000000.0,59185715.0,290241338.0,Universal,PG-13,Action,1,5.6,124371.0,4.826923076923077,The request failed: Google returned a response with code 429,135241338.0
40,75,1475.0,5354,tt0838283,movie,Step Brothers,Step Brothers,0,2008,\N,98,Comedy,step brothers,2008-07-25,Step Brothers,65000000.0,100468793.0,128468793.0,Sony Pictures,R,Comedy,1,6.9,312067.0,18.73076923076923,The request failed: Google returned a response with code 429,63468793.0
48,16,1816.0,1311,tt0230600,movie,The Others,The Others,0,2001,\N,101,"Horror,Mystery,Thriller",others,2001-08-10,The Others,17000000.0,96522687.0,207765056.0,Miramax,PG-13,Horror,1,7.6,385787.0,11.288461538461538,The request failed: Google returned a response with code 500,190765056.0
49,24,1824.0,1441,tt0253474,movie,The Pianist,The Pianist,0,2002,\N,150,"Biography,Drama,Music",pianist,2002-12-27,The Pianist,35000000.0,32519322.0,111854182.0,Focus Features,R,Drama,1,8.5,885830.0,5.173076923076923,The request failed: Google returned a response with code 500,76854182.0
50,28,1828.0,1337,tt0237572,movie,The Pledge,The Pledge,0,2001,\N,124,"Crime,Drama,Mystery",pledge,2001-01-19,The Pledge,45000000.0,19719930.0,29406132.0,Warner Bros.,R,Drama,1,6.8,65078.0,6.730769230769231,The request failed: Google returned a response with code 429,-15593868.0
