,index,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index,error_message,profit,log_profit,log_production_budget,same_period_indicator,same_period_profit,same_period_rating,same_period_budget,same_period_movie_id,avg_search_index
0,0,4,804.0,3209,tt0487156,movie,In Her Line of Fire,In Her Line of Fire,0,2006,\N,88,"Action,Drama",in her line of fire,2006-04-21,In Her Line of Fire,1000000.0,884.0,884.0,Regent Releasing,R,Action,1,3.6,1074.0,3.1153846153846154,,-999116.0,18.88442032620675,13.815511557963774,1,19.137076705034726,6.5,17.72753358339242,tt0384537,20.096153846153847
1,1,6,806.0,11460,tt1390411,movie,In the Heart of the Sea,In the Heart of the Sea,0,2015,\N,122,"Action,Adventure,Biography",in the heart of the sea,2015-12-11,In the Heart of the Sea,100000000.0,25020758.0,89693309.0,Warner Bros.,PG-13,Adventure,1,6.9,146203.0,5.230769230769231,The request failed: Google returned a response with code 429,-10306691.0,18.824099159012498,18.420680753952364,1,19.395854357694187,7.8,17.147715103853763,tt1596363,8.096153846153847
2,4,45,845.0,1204,tt0211443,movie,Jason X,Jason X,0,2001,\N,92,"Action,Horror,Sci-Fi",jason x,2002-04-26,Jason X,14000000.0,13121555.0,16951798.0,New Line,R,Horror,1,4.4,60445.0,5.846153846153846,The request failed: Google returned a response with code 500,2951798.0,18.908965003383283,16.454567959008102,0,0.0,0.0,0.0,,0.0
3,5,47,847.0,1499,tt0263488,movie,Jeepers Creepers,Jeepers Creepers,0,2001,\N,90,"Horror,Mystery",jeepers creepers,2001-08-31,Jeepers Creepers,10000000.0,37904175.0,58939035.0,MGM,R,Horror,1,6.2,139482.0,6.557692307692308,The request failed: Google returned a response with code 429,48939035.0,19.157553073598276,16.118095750958318,0,0.0,0.0,0.0,,0.0
4,6,50,850.0,1785,tt0300051,movie,Jersey Girl,Jersey Girl,0,2004,\N,102,"Comedy,Drama,Romance",jersey girl,2004-03-26,Jersey Girl,35000000.0,25266129.0,37066129.0,Miramax,PG-13,Comedy,1,6.2,68671.0,29.25,The request failed: Google returned a response with code 429,2066129.0,18.90351501977822,17.370858648025116,1,19.165372466996196,5.8999999999999995,17.072162650791952,"tt0066826,tt0331632,tt0335245",37.18803418803419
5,10,57,857.0,19285,tt2382396,movie,Joe,Joe,0,2013,\N,117,"Crime,Drama,Thriller",joe,2014-04-11,Joe,4000000.0,373375.0,373375.0,Roadside Attractions,R,Drama,1,6.8,50578.0,2.8076923076923075,The request failed: Google returned a response with code 500,-3626625.0,18.867757141405654,15.201805169084134,1,19.257920558136853,6.675,16.962065620189744,"tt2388715,tt2058107,tt2357291,tt2223990",13.182692307692308
6,12,62,862.0,1569,tt0274166,movie,Johnny English,Johnny English,0,2003,\N,89,"Action,Adventure,Comedy",johnny english,2003-07-18,Johnny English,45000000.0,28013509.0,163126676.0,Universal,PG,Adventure,1,6.2,170909.0,21.53846153846154,The request failed: Google returned a response with code 429,118126676.0,19.44358724052952,17.622173069956816,0,0.0,0.0,0.0,,0.0
7,13,66,866.0,1770,tt0298388,movie,Jonah: A VeggieTales Movie,Jonah: A VeggieTales Movie,0,2002,\N,82,"Adventure,Animation,Comedy",jonah a veggietales movie,2002-10-04,Jonah: A VeggieTales Movie,14000000.0,25571351.0,25608779.0,Artisan,G,Adventure,1,6.4,4448.0,20.57692307692308,The request failed: Google returned a response with code 429,11608779.0,18.960727909210394,16.454567959008102,0,0.0,0.0,0.0,,0.0
8,14,68,868.0,11546,tt1397514,movie,Journey 2: The Mysterious Island,Journey 2: The Mysterious Island,0,2012,\N,94,"Action,Adventure,Comedy",journey  the mysterious island,2012-02-10,Journey 2: The Mysterious Island,79000000.0,103860290.0,318146162.0,Warner Bros.,PG,Adventure,1,5.7,110015.0,10.288461538461538,The request failed: Google returned a response with code 429,239146162.0,19.804838231082407,18.184958423089526,1,19.60735934491458,6.8,17.21670797295976,tt1606389,4.4423076923076925
9,15,78,878.0,983,tt0163025,movie,Jurassic Park III,Jurassic Park III,0,2001,\N,92,"Action,Adventure,Sci-Fi",jurassic park iii,2001-07-18,Jurassic Park III,93000000.0,181166115.0,365900000.0,Universal,PG-13,Action,1,5.9,335818.0,4.826923076923077,The request failed: Google returned a response with code 429,272900000.0,19.88601731472221,18.348110061870216,0,0.0,0.0,0.0,,0.0
