Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index
23424,tt3453052,movie,10 Days in a Madhouse,10 Days in a Madhouse,0,2015,\N,111,"Drama,History", days in a madhouse,2015-11-11,10 Days in a Madhouse,12000000.0,14616.0,14616.0,Cafe Pictures,R,Drama,1,5.7,2826.0,12.51923076923077
15853,tt1869849,tvEpisode,"10,000 B.C.","10,000 B.C.",0,2010,\N,22,"Action,Comedy,Fantasy", bc,2008-03-07,"10,000 B.C.",105000000.0,94784201.0,269065678.0,Warner Bros.,PG-13,Adventure,1,7.2,11.0,6.673076923076923
8277,tt1160368,movie,12 Rounds,12 Rounds,0,2009,\N,108,"Action,Crime,Thriller", rounds,2009-03-27,12 Rounds,20000000.0,12234694.0,17306648.0,20th Century Fox,PG-13,Action,1,5.6,30132.0,6.4423076923076925
11789,tt1413492,movie,12 Strong,12 Strong,0,2018,\N,130,"Action,Drama,History", strong,2018-01-19,12 Strong,35000000.0,45500164.0,70798829.0,Warner Bros.,R,Drama,1,6.5,89586.0,4.961538461538462
16782,tt2024544,movie,12 Years a Slave,12 Years a Slave,0,2013,\N,134,"Biography,Drama,History", years a slave,2013-10-18,12 Years a Slave,20000000.0,56671993.0,181025343.0,Fox Searchlight,R,Drama,1,8.1,728676.0,5.75
13428,tt1542344,movie,127 Hours,127 Hours,0,2010,\N,94,"Biography,Drama", hours,2010-11-05,127 Hours,18000000.0,18335230.0,60217171.0,Fox Searchlight,R,Drama,1,7.5,393988.0,4.961538461538462
7685,tt11173008,tvEpisode,13 Going On 30,13 Going On 30,0,\N,\N,\N,"Comedy,Drama,Family", going on ,2004-04-23,13 Going On 30,37000000.0,57139723.0,97658712.0,Sony Pictures,PG-13,Comedy,1,,,20.3125
2929,tt0450232,movie,16 Blocks,16 Blocks,0,2006,\N,102,"Action,Drama,Thriller", blocks,2006-03-03,16 Blocks,45000000.0,36895141.0,65595141.0,Warner Bros.,PG-13,Action,1,6.6,133718.0,
5897,tt0974661,movie,17 Again,17 Again,0,2009,\N,102,"Comedy,Drama,Fantasy", again,2009-04-17,17 Again,40000000.0,64167069.0,139474906.0,Warner Bros.,PG-13,Comedy,1,6.4,212384.0,
1943,tt0322259,movie,2 Fast 2 Furious,2 Fast 2 Furious,0,2003,\N,107,"Action,Crime,Thriller", fast  furious,2003-06-06,2 Fast 2 Furious,76000000.0,127120058.0,236410607.0,Universal,PG-13,Action,1,5.9,291140.0,
