,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,error_message,search_index
1200,1216,tt0213149,movie,Pearl Harbor,Pearl Harbor,0,2001,\N,183,"Action,Drama,History",pearl harbor,2001-05-25,Pearl Harbor,151500000.0,198539855.0,449239855.0,Walt Disney,PG-13,Action,1,6.2,346665.0,The request failed: Google returned a response with code 500,
1201,16083,tt1911658,movie,Penguins of Madagascar,Penguins of Madagascar,0,2014,\N,92,"Action,Adventure,Animation",penguins of madagascar,2014-11-26,Penguins of Madagascar,132000000.0,83350911.0,367650911.0,20th Century Fox,PG,Adventure,1,6.6,99066.0,"HTTPSConnectionPool(host='trends.google.com', port=443): Max retries exceeded with url: /trends/api/explore?hl=en-US&tz=360&req=%7B%22comparisonItem%22%3A+%5B%7B%22keyword%22%3A+%22Penguins+of+Madagascar%22%2C+%22time%22%3A+%222013-11-26+2014-11-26%22%2C+%22geo%22%3A+%22%22%7D%5D%2C+%22category%22%3A+0%2C+%22property%22%3A+%22%22%7D (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x12672c1c0>: Failed to resolve 'trends.google.com' ([Errno 8] nodename nor servname provided, or not known)""))",
1202,14908,tt1716777,movie,People Like Us,People Like Us,0,2012,\N,114,"Comedy,Drama",people like us,2012-06-29,People Like Us,16000000.0,12431792.0,12617472.0,Walt Disney,PG-13,Drama,1,7.0,43961.0,,9.788461538461538
1203,15741,tt1854564,movie,Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters,0,2013,\N,106,"Adventure,Family,Fantasy",percy jackson sea of monsters,2013-08-07,Percy Jackson: Sea of Monsters,90000000.0,68559554.0,200859554.0,20th Century Fox,PG,Adventure,1,5.7,123350.0,,7.826923076923077
1204,2524,tt0396171,movie,Perfume: The Story of a Murderer,Perfume: The Story of a Murderer,0,2006,\N,147,"Crime,Drama,Fantasy",perfume the story of a murderer,2006-12-27,Perfume: The Story of a Murderer,63700000.0,2223293.0,133603463.0,Paramount Pictures,R,Drama,1,7.5,261852.0,,19.76923076923077
1205,5199,tt0808417,movie,Persepolis,Persepolis,0,2007,\N,96,"Animation,Biography,Drama",persepolis,2007-12-25,Persepolis,7300000.0,4443403.0,25397460.0,Sony Pictures Classics,PG-13,Drama,1,8.0,98594.0,The request failed: Google returned a response with code 429,
1206,26853,tt5117670,movie,Peter Rabbit,Peter Rabbit,0,2018,\N,95,"Adventure,Comedy,Crime",peter rabbit,2018-02-09,Peter Rabbit,50000000.0,115234093.0,347134901.0,Sony Pictures,PG,Adventure,1,6.6,46642.0,The request failed: Google returned a response with code 429,
1207,19542,tt2431286,movie,Philomena,Philomena,0,2013,\N,98,"Biography,Comedy,Drama",philomena,2013-11-22,Philomena,12000000.0,37709979.0,98963392.0,Weinstein Co.,PG-13,Drama,1,7.6,102920.0,,18.615384615384617
1208,1870,tt0311648,movie,Pieces of April,Pieces of April,0,2003,\N,80,"Comedy,Drama",pieces of april,2003-10-17,Pieces of April,300000.0,2528664.0,3571253.0,MGM,PG-13,Comedy,1,7.0,21829.0,"HTTPSConnectionPool(host='trends.google.com', port=443): Read timed out. (read timeout=5)",
1209,5664,tt0910936,movie,Pineapple Express,Pineapple Express,0,2008,\N,111,"Action,Comedy,Crime",pineapple express,2008-08-06,Pineapple Express,26000000.0,87341380.0,102404019.0,Sony Pictures,R,Comedy,1,6.9,352525.0,,5.153846153846154
1210,3048,tt0464154,movie,Piranha 3D,Piranha 3D,0,2010,\N,88,"Comedy,Horror",piranha d,2010-08-20,Piranha 3D,24000000.0,25003155.0,83660160.0,Weinstein/Dimension,R,Horror,1,5.5,95422.0,,5.326923076923077
1211,16498,tt1981677,movie,Pitch Perfect,Pitch Perfect,0,2012,\N,112,"Comedy,Music,Romance",pitch perfect,2012-09-28,Pitch Perfect,17000000.0,65001093.0,116044347.0,Universal,PG-13,Comedy,1,7.1,324325.0,,7.538461538461538
1212,26217,tt4765284,movie,Pitch Perfect 3,Pitch Perfect 3,0,2017,\N,93,"Comedy,Music",pitch perfect ,2017-12-22,Pitch Perfect 3,45000000.0,104897530.0,185736412.0,Universal,PG-13,Comedy,1,5.8,70000.0,,7.1923076923076925
1213,17384,tt2120120,movie,Pixels,Pixels,0,2015,\N,105,"Action,Comedy,Fantasy",pixels,2015-07-24,Pixels,90000000.0,78765986.0,244041804.0,Sony Pictures,PG-13,Adventure,1,5.6,155008.0,,15.038461538461538
1214,24462,tt3890058,tvEpisode,Planes: Fire and Rescue,Planes: Fire and Rescue,0,2014,\N,\N,Family,planes fire and rescue,2014-07-18,Planes: Fire and Rescue,50000000.0,59157732.0,156399644.0,Walt Disney,PG,Adventure,1,7.7,6.0,,5.846153846153846
1215,4960,tt0762125,movie,Planet 51,Planet 51,0,2009,\N,91,"Adventure,Animation,Comedy",planet ,2009-11-20,Planet 51,60000000.0,42194060.0,108996113.0,Sony Pictures,PG,Adventure,1,6.0,57760.0,,8.134615384615385
1216,850,tt0133152,movie,Planet of the Apes,Planet of the Apes,0,2001,\N,120,"Action,Adventure,Sci-Fi",planet of the apes,2001-07-27,Planet of the Apes,100000000.0,180011740.0,362211740.0,20th Century Fox,PG-13,Adventure,1,5.7,225898.0,The request failed: Google returned a response with code 500,
1217,19856,tt2556874,movie,Plastic,Plastic,0,2014,\N,102,"Action,Comedy,Crime",plastic,2014-09-26,Plastic,10000000.0,0.0,575371.0,ARC Entertainment,R,Action,1,6.0,8206.0,,87.71153846153847
1218,16112,tt1921064,movie,Pompeii,Pompeii,0,2014,\N,105,"Action,Adventure,Drama",pompeii,2014-02-21,Pompeii,80000000.0,23169033.0,108469033.0,Sony Pictures,PG-13,Drama,1,5.5,115088.0,,22.23076923076923
