,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index,error_message
1400,5598,tt0892791,movie,Shrek Forever After,Shrek Forever After,0,2010,\N,95,"Adventure,Animation,Comedy",shrek forever after,2010-05-21,Shrek Forever After,165000000.0,238736787.0,756244673.0,Paramount Pictures,PG,Adventure,1,6.3,219670.0,6.846153846153846,
1401,2650,tt0413267,movie,Shrek the Third,Shrek the Third,0,2007,\N,93,"Adventure,Animation,Comedy",shrek the third,2007-05-17,Shrek the Third,160000000.0,322719944.0,807330936.0,Paramount Pictures,PG,Adventure,1,6.1,325363.0,7.326923076923077,
1402,2879,tt0440803,movie,Shutter,Shutter,0,2004,\N,97,"Horror,Mystery,Thriller",shutter,2008-03-21,Shutter,8000000.0,25928550.0,47782426.0,20th Century Fox,PG-13,Horror,1,7.0,48201.0,31.076923076923077,
1403,26719,tt5052474,movie,Sicario: Day of the Soldado,Sicario: Day of the Soldado,0,2018,\N,122,"Action,Crime,Drama",sicario day of the soldado,2018-06-29,Sicario: Day of the Soldado,35000000.0,50065850.0,73285196.0,Sony Pictures,R,Action,1,7.1,161449.0,4.0,
1404,1355,tt0239986,movie,Sidewalks of New York,Sidewalks of New York,0,2001,\N,108,"Comedy,Romance",sidewalks of new york,2001-11-21,Sidewalks of New York,1000000.0,2402459.0,3575308.0,Paramount Vantage,R,Comedy,1,6.4,6868.0,,The request failed: Google returned a response with code 500
1405,2330,tt0375063,movie,Sideways,Sideways,0,2004,\N,127,"Comedy,Drama,Romance",sideways,2004-10-22,Sideways,17000000.0,71502303.0,109793192.0,Fox Searchlight,R,Drama,1,7.5,198823.0,25.428571428571427,
1406,3231,tt0490215,movie,Silence,Silence,0,2016,\N,161,"Drama,History",silence,2016-12-23,Silence,46500000.0,7100177.0,23727516.0,Paramount Pictures,R,Drama,1,7.2,119886.0,69.1923076923077,
1407,2423,tt0384537,movie,Silent Hill,Silent Hill,0,2006,\N,125,"Horror,Mystery",silent hill,2006-04-21,Silent Hill,50000000.0,46982632.0,94704227.0,Sony Pictures,R,Horror,1,6.5,240151.0,20.096153846153847,
1408,31166,tt7195484,tvEpisode,Silent Hill: Revelation 3D,Silent Hill: Revelation 3D,0,2012,\N,\N,"Comedy,Talk-Show",silent hill revelation d,2012-10-26,Silent Hill: Revelation 3D,20000000.0,17530219.0,55975672.0,Open Road,R,Horror,1,,,12.461538461538462,
1409,15185,tt1767382,movie,Silent House,Silent House,0,2011,\N,86,"Horror,Thriller",silent house,2012-03-09,Silent House,2000000.0,12739737.0,16610760.0,Open Road,R,Horror,1,5.2,24077.0,7.769230769230769,
1410,6668,tt1045658,movie,Silver Linings Playbook,Silver Linings Playbook,0,2012,\N,122,"Comedy,Drama,Romance",silver linings playbook,2012-11-16,Silver Linings Playbook,21000000.0,132092958.0,236412453.0,Weinstein Co.,R,Drama,1,7.7,731835.0,7.403846153846154,
1411,2572,tt0401792,movie,Sin City,Sin City,0,2005,\N,124,"Crime,Thriller",sin city,2005-04-01,Sin City,40000000.0,74103820.0,158527918.0,Miramax/Dimension,R,Action,1,8.0,786692.0,8.942307692307692,
1412,3007,tt0458481,movie,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,0,2014,\N,102,"Action,Crime,Thriller",sin city a dame to kill for,2014-08-22,Sin City: A Dame to Kill For,65000000.0,13757804.0,40650842.0,Weinstein Co.,R,Action,1,6.5,168268.0,8.23076923076923,
1413,1009,tt0165982,movie,Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas,0,2003,\N,88,"Adventure,Animation,Comedy",sinbad legend of the seven seas,2003-07-02,Sinbad: Legend of the Seven Seas,60000000.0,26483452.0,80767884.0,Dreamworks SKG,PG,Adventure,1,6.7,58211.0,,The request failed: Google returned a response with code 500
1414,23461,tt3470600,movie,Sing,Sing,0,2016,\N,108,"Animation,Comedy,Family",sing,2016-12-21,Sing,75000000.0,270329045.0,634547945.0,Universal,PG,Adventure,1,7.1,184992.0,35.53846153846154,
1415,20769,tt2752772,movie,Sinister 2,Sinister 2,0,2015,\N,97,"Horror,Mystery,Thriller",sinister ,2015-08-21,Sinister 2,10000000.0,27740955.0,54104225.0,Focus Features,R,Horror,1,5.3,59370.0,6.788461538461538,
1416,15717,tt1850457,movie,Sisters,Sisters,0,2015,\N,118,Comedy,sisters,2015-12-18,Sisters,30000000.0,87044645.0,106030660.0,Universal,R,Comedy,1,6.0,68557.0,75.4423076923077,
1417,14339,tt1641841,movie,Skin Trade,Skin Trade,0,2014,\N,96,"Action,Crime,Thriller",skin trade,2015-05-08,Skin Trade,9000000.0,1242.0,1242.0,Magnolia Pictures,R,Action,1,5.6,8472.0,11.76923076923077,
1418,2599,tt0405325,movie,Sky High,Sky High,0,2005,\N,100,"Action,Comedy,Family",sky high,2005-07-29,Sky High,35000000.0,63939454.0,83109359.0,Walt Disney,PG,Adventure,1,6.3,92849.0,15.096153846153847,
1419,28189,tt5758778,movie,Skyscraper,Skyscraper,0,2018,\N,102,"Action,Adventure,Thriller",skyscraper,2018-07-13,Skyscraper,125000000.0,67796355.0,304034615.0,Universal,PG,Action,1,5.8,130917.0,9.173076923076923,
1420,1362,tt0240900,movie,Slackers,Slackers,0,2002,\N,86,"Comedy,Romance",slackers,2002-02-01,Slackers,11000000.0,4814244.0,5942218.0,Sony Pictures,R,Comedy,1,5.3,15096.0,,The request failed: Google returned a response with code 500
1421,2282,tt0368975,movie,Sleepover,Sleepover,0,2004,\N,89,"Comedy,Family,Romance",sleepover,2004-07-09,Sleepover,10000000.0,9408183.0,9408183.0,MGM,PG,Adventure,1,5.3,17726.0,29.444444444444443,
1422,25850,tt4573516,movie,Sleight,Sleight,0,2016,\N,89,"Crime,Drama,Sci-Fi",sleight,2017-04-28,Sleight,250000.0,3930990.0,3934450.0,High Top Releasing,R,Action,1,5.9,9146.0,7.730769230769231,
1423,2873,tt0439815,movie,Slither,Slither,0,2006,\N,95,"Comedy,Horror,Sci-Fi",slither,2006-03-31,Slither,15250000.0,7802450.0,12930343.0,Universal,R,Horror,1,6.5,87510.0,8.884615384615385,
1424,6151,tt1010048,movie,Slumdog Millionaire,Slumdog Millionaire,0,2008,\N,120,"Crime,Drama,Romance",slumdog millionaire,2008-11-12,Slumdog Millionaire,14000000.0,141330703.0,384530440.0,Fox Searchlight,R,Drama,1,8.0,867712.0,4.134615384615385,
1425,9831,tt1272886,movie,Small Apartments,Small Apartments,0,2012,\N,96,"Comedy,Crime,Drama",small apartments,2013-02-08,Small Apartments,2000000.0,0.0,0.0,Morocco Junction Pi…,R,Comedy,1,6.1,8251.0,69.15384615384616,
1426,29095,tt6182908,movie,Smallfoot,Smallfoot,0,2018,\N,96,"Adventure,Animation,Comedy",smallfoot,2018-09-28,Smallfoot,80000000.0,66361035.0,137161035.0,Warner Bros.,PG,Adventure,1,6.6,42079.0,,The request failed: Google returned a response with code 429
1427,3115,tt0475394,movie,Smokin' Aces,Smokin' Aces,0,2006,\N,109,"Action,Comedy,Crime",smokin aces,2007-01-26,Smokin' Aces,17000000.0,35662731.0,57263440.0,Universal,R,Comedy,1,6.6,150417.0,5.115384615384615,
1428,19387,tt2398241,movie,Smurfs: The Lost Village,Smurfs: The Lost Village,0,2017,\N,90,"Adventure,Animation,Comedy",smurfs the lost village,2017-04-07,Smurfs: The Lost Village,60000000.0,45020282.0,197422438.0,Sony Pictures,PG,Adventure,1,6.0,23477.0,4.769230769230769,
1429,18986,tt2334871,movie,Snatched,Snatched,0,2017,\N,90,"Action,Adventure,Comedy",snatched,2017-05-12,Snatched,42000000.0,45852178.0,57852177.0,20th Century Fox,R,Comedy,1,4.7,37122.0,5.519230769230769,
1430,2957,tt0453548,movie,Snow Angels,Snow Angels,0,2007,\N,107,"Crime,Drama,Romance",snow angels,2008-03-07,Snow Angels,1500000.0,402858.0,414404.0,Warner Independent,R,Drama,1,6.8,13056.0,23.28846153846154,
1431,1623,tt0281373,movie,Snow Dogs,Snow Dogs,0,2002,\N,99,"Adventure,Comedy,Family",snow dogs,2002-01-18,Snow Dogs,32000000.0,81150692.0,116898028.0,Walt Disney,PG,Adventure,1,5.2,28135.0,,The request failed: Google returned a response with code 500
1432,13425,tt1541995,movie,Snow Flower and the Secret Fan,Snow Flower and the Secret Fan,0,2011,\N,104,"Drama,History",snow flower and the secret fan,2011-07-15,Snow Flower and the Secret Fan,6000000.0,1348205.0,11348205.0,Fox Searchlight,PG-13,Drama,1,6.1,3961.0,9.057692307692308,
1433,15007,tt1735898,movie,Snow White and the Huntsman,Snow White and the Huntsman,0,2012,\N,127,"Action,Adventure,Drama",snow white and the huntsman,2012-06-01,Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,Universal,PG-13,Adventure,1,6.1,298916.0,,"HTTPSConnectionPool(host='trends.google.com', port=443): Max retries exceeded with url: /trends/api/explore?hl=en-US&tz=360&req=%7B%22comparisonItem%22%3A+%5B%7B%22keyword%22%3A+%22Snow+White+and+the+Huntsman%22%2C+%22time%22%3A+%222011-06-02+2012-06-01%22%2C+%22geo%22%3A+%22%22%7D%5D%2C+%22category%22%3A+0%2C+%22property%22%3A+%22%22%7D (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1123)')))"
