,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,error_message,search_index
2000,1991,tt0328589,movie,Under the Tuscan Sun,Under the Tuscan Sun,0,2003,\N,113,"Comedy,Drama,Romance",under the tuscan sun,2003-09-26,Under the Tuscan Sun,18000000.0,43601508.0,57490024.0,Walt Disney,PG-13,Comedy,1,6.7,56412.0,The request failed: Google returned a response with code 500,
2001,1604,tt0279493,movie,Undercover Brother,Undercover Brother,0,2002,\N,86,"Action,Comedy",undercover brother,2002-05-31,Undercover Brother,25000000.0,38230435.0,40796145.0,Universal,PG-13,Comedy,1,5.9,35919.0,The request failed: Google returned a response with code 500,
2002,14251,tt1634003,movie,Underdogs,Metegol,0,2013,\N,106,"Adventure,Animation,Comedy",underdogs,2013-08-16,Underdogs,2500000.0,35017.0,35017.0,Freestyle Releasing,PG,Drama,1,6.4,10148.0,,72.11538461538461
2003,1934,tt0320691,movie,Underworld,Underworld,0,2003,\N,121,"Action,Fantasy,Thriller",underworld,2003-09-19,Underworld,22000000.0,51970690.0,95708457.0,Sony Pictures,R,Action,1,7.0,281153.0,The request failed: Google returned a response with code 500,
2004,12853,tt1496025,movie,Underworld: Awakening,Underworld: Awakening,0,2012,\N,88,"Action,Fantasy,Horror",underworld awakening,2012-01-20,Underworld: Awakening,70000000.0,62321039.0,160379930.0,Sony Pictures,R,Action,1,6.3,159530.0,,6.038461538461538
2005,2573,tt0401855,movie,Underworld: Evolution,Underworld: Evolution,0,2006,\N,106,"Action,Fantasy,Thriller",underworld evolution,2006-01-20,Underworld: Evolution,45000000.0,62318875.0,113417762.0,Sony Pictures,R,Action,1,6.7,206999.0,,8.615384615384615
2006,1621,tt0281322,movie,Undisputed,Undisputed,0,2002,\N,96,"Action,Crime,Drama",undisputed,2002-08-23,Undisputed,20000000.0,12398628.0,12398628.0,Miramax,R,Drama,1,6.1,33891.0,The request failed: Google returned a response with code 500,
2007,1423,tt0250797,movie,Unfaithful,Unfaithful,0,2002,\N,124,"Drama,Romance,Thriller",unfaithful,2002-05-08,Unfaithful,50000000.0,52752475.0,119114494.0,20th Century Fox,R,Drama,1,6.7,95653.0,The request failed: Google returned a response with code 500,
2008,19112,tt2358925,movie,Unfinished Business,Unfinished Business,0,2015,\N,91,"Comedy,Drama",unfinished business,2015-03-06,Unfinished Business,35000000.0,10219501.0,12819501.0,20th Century Fox,R,Comedy,1,5.4,34575.0,,4.884615384615385
2009,24026,tt3713166,movie,Unfriended,Unfriended,0,2014,\N,83,"Horror,Mystery,Thriller",unfriended,2015-04-17,Unfriended,1000000.0,32789645.0,62869004.0,Universal,R,Horror,1,5.6,80190.0,,8.346153846153847
2010,26212,tt4761916,movie,Unfriended: Dark Web,Unfriended: Dark Web,0,2018,\N,92,"Horror,Mystery,Thriller",unfriended dark web,2018-07-20,Unfriended: Dark Web,1000000.0,8783985.0,9620953.0,OTL Releasing,R,Horror,1,6.0,37222.0,,3.3461538461538463
2011,3111,tt0475276,movie,United 93,United 93,0,2006,\N,111,"Action,Drama,History",united ,2006-04-28,United 93,18000000.0,31567134.0,77635035.0,Universal,R,Drama,1,7.6,109873.0,,5.173076923076923
2012,3125,tt0477080,movie,Unstoppable,Unstoppable,0,2010,\N,98,"Action,Thriller",unstoppable,2010-11-12,Unstoppable,95000000.0,81562942.0,165720921.0,20th Century Fox,PG-13,Action,1,6.8,205018.0,,12.173076923076923
2013,8694,tt1193138,movie,Up in the Air,Up in the Air,0,2009,\N,109,"Comedy,Drama,Romance",up in the air,2009-12-04,Up in the Air,30000000.0,83823381.0,166842739.0,Paramount Pictures,R,Drama,1,7.4,346061.0,,12.134615384615385
2014,2830,tt0434409,movie,V for Vendetta,V for Vendetta,0,2005,\N,132,"Action,Drama,Sci-Fi",v for vendetta,2006-03-17,V for Vendetta,50000000.0,70511035.0,130214162.0,Warner Bros.,R,Action,1,8.2,1160470.0,,7.5
2015,13233,tt1524930,movie,Vacation,Vacation,0,2015,\N,99,"Adventure,Comedy",vacation,2015-07-29,Vacation,31000000.0,58884188.0,101627989.0,Warner Bros.,R,Comedy,1,6.1,119388.0,,61.55769230769231
2016,1371,tt0242998,movie,Valentine,Valentine,0,2001,\N,96,"Horror,Mystery,Thriller",valentine,2001-02-02,Valentine,10000000.0,20384136.0,20384136.0,Warner Bros.,R,Horror,1,4.9,29711.0,The request failed: Google returned a response with code 500,
2017,2186,tt0361089,movie,Valiant,Valiant,0,2005,\N,76,"Adventure,Animation,Comedy",valiant,2005-08-19,Valiant,35000000.0,19478106.0,64188387.0,Walt Disney,G,Adventure,1,5.5,24045.0,,42.28846153846154
