,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index
200,20943,tt27731623,tvEpisode,Beyond the Sea,Beyond the Sea,0,2023,\N,79,"Drama,Mystery,Sci-Fi",beyond the sea,2004-12-17,Beyond the Sea,24000000.0,6144806.0,8292914.0,Lionsgate,PG-13,Drama,1,7.4,30302.0,25.06
201,7833,tt1126590,movie,Big Eyes,Big Eyes,0,2014,\N,106,"Biography,Crime,Drama",big eyes,2014-12-25,Big Eyes,10000000.0,14482031.0,27317872.0,Weinstein Co.,PG-13,Drama,1,7.0,97586.0,11.384615384615385
202,1509,tt0265298,movie,Big Fat Liar,Big Fat Liar,0,2002,\N,88,"Adventure,Comedy,Family",big fat liar,2002-02-08,Big Fat Liar,15000000.0,47811275.0,52461017.0,Universal,PG,Adventure,1,5.5,38778.0,
203,1923,tt0319061,movie,Big Fish,Big Fish,0,2003,\N,125,"Adventure,Drama,Fantasy",big fish,2003-12-10,Big Fish,70000000.0,66432867.0,123954323.0,Sony Pictures,PG-13,Drama,1,8.0,453400.0,
204,18415,tt2245084,movie,Big Hero 6,Big Hero 6,0,2014,\N,102,"Action,Adventure,Animation",big hero ,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,Walt Disney,PG,Adventure,1,7.8,489209.0,6.0
205,11989,tt1430615,movie,Big Miracle,Big Miracle,0,2012,\N,107,"Biography,Drama,Romance",big miracle,2012-02-03,Big Miracle,40000000.0,20157300.0,25268680.0,Universal,PG,Drama,1,6.5,20315.0,4.673076923076923
206,2719,tt0421729,movie,Big Momma's House 2,Big Momma's House 2,0,2006,\N,99,"Comedy,Crime",big mommas house ,2006-01-27,Big Momma's House 2,40000000.0,70165972.0,137047376.0,20th Century Fox,PG-13,Comedy,1,4.8,45740.0,6.576923076923077
207,12438,tt1464174,movie,"Big Mommas: Like Father, Like Son","Big Mommas: Like Father, Like Son",0,2011,\N,107,"Action,Comedy,Crime",big mommas like father like son,2011-02-18,"Big Mommas: Like Father, Like Son",32000000.0,37915414.0,82332450.0,20th Century Fox,PG-13,Comedy,1,4.4,28983.0,12.98076923076923
208,1394,tt0246464,movie,Big Trouble,Big Trouble,0,2002,\N,85,"Comedy,Crime,Thriller",big trouble,2002-04-05,Big Trouble,45000000.0,7262288.0,8488871.0,Walt Disney,PG-13,Comedy,1,6.4,21418.0,
209,23678,tt3576728,movie,Bilal: A New Breed of Hero,Bilal: A New Breed of Hero,0,2015,\N,105,"Action,Adventure,Animation",bilal a new breed of hero,2018-02-02,Bilal: A New Breed of Hero,30000000.0,490973.0,648599.0,Vertical Entertainment,PG-13,Adventure,1,7.6,19109.0,13.903846153846153
210,2049,tt0337876,movie,Birth,Birth,0,2004,\N,100,"Drama,Fantasy,Mystery",birth,2004-10-29,Birth,20000000.0,5005899.0,14603001.0,New Line,R,Drama,1,6.2,38660.0,87.37209302325581
211,20548,tt2720826,movie,Birth of the Dragon,Birth of the Dragon,0,2016,\N,95,"Action,Biography,Drama",birth of the dragon,2017-08-25,Birth of the Dragon,31000000.0,6901965.0,7220514.0,BH Tilt,PG-13,Action,1,5.7,8702.0,8.615384615384615
212,26184,tt4731498,tvEpisode,Bitter Harvest,Bitter Harvest,0,2016,\N,42,"Drama,Mystery,Sci-Fi",bitter harvest,2017-02-24,Bitter Harvest,21000000.0,557241.0,606162.0,Roadside Attractions,R,Drama,1,8.0,5176.0,4.5576923076923075
213,8333,tt1164999,movie,Biutiful,Biutiful,0,2010,\N,148,"Drama,Romance",biutiful,2011-01-28,Biutiful,35000000.0,5101237.0,24687524.0,Roadside Attractions,R,Drama,1,7.4,93696.0,4.615384615384615
214,402,tt0071222,movie,Black Christmas,Black Christmas,0,1974,\N,98,"Horror,Mystery,Thriller",black christmas,2006-12-05,Black Christmas,9000000.0,16235738.0,16235738.0,MGM,R,Horror,1,7.1,45723.0,10.942307692307692
215,1506,tt0265086,movie,Black Hawk Down,Black Hawk Down,0,2001,\N,144,"Action,Drama,History",black hawk down,2001-12-28,Black Hawk Down,95000000.0,108638745.0,159691085.0,Sony Pictures,R,Action,1,7.7,415632.0,
216,1507,tt0265087,movie,Black Knight,Black Knight,0,2001,\N,95,"Adventure,Comedy,Fantasy",black knight,2001-11-21,Black Knight,35000000.0,33422806.0,33422806.0,20th Century Fox,PG-13,Adventure,1,4.9,42642.0,
217,10947,tt1355683,movie,Black Mass,Black Mass,0,2015,\N,123,"Biography,Crime,Drama",black mass,2015-09-18,Black Mass,53000000.0,62575678.0,98837872.0,Warner Bros.,R,Drama,1,6.9,189461.0,7.153846153846154
218,3019,tt0462200,movie,Black Snake Moan,Black Snake Moan,0,2006,\N,116,"Drama,Music",black snake moan,2007-03-02,Black Snake Moan,15000000.0,9396870.0,10951153.0,Paramount Vantage,R,Drama,1,6.9,65951.0,5.326923076923077
219,21665,tt2883434,movie,Black or White,Black or White,0,2014,\N,121,Drama,black or white,2015-01-30,Black or White,9000000.0,21571189.0,21971021.0,Relativity,PG-13,Drama,1,6.6,13719.0,28.076923076923077
220,14225,tt1629705,movie,Blackthorn,Blackthorn,0,2011,\N,102,"Action,Adventure,Drama",blackthorn,2011-10-07,Blackthorn,4500000.0,200558.0,1217307.0,Magnolia Pictures,R,Adventure,1,6.5,10248.0,12.0
221,2171,tt0359013,movie,Blade: Trinity,Blade: Trinity,0,2004,\N,113,"Action,Horror,Sci-Fi",blade trinity,2004-12-08,Blade: Trinity,65000000.0,52397389.0,131353165.0,New Line,R,Action,1,5.8,185639.0,10.46938775510204
222,2905,tt0445934,movie,Blades of Glory,Blades of Glory,0,2007,\N,93,"Comedy,Sport",blades of glory,2007-03-30,Blades of Glory,61000000.0,118594548.0,145594548.0,Paramount Pictures,PG-13,Comedy,1,6.3,175395.0,6.5
223,13399,tt1540011,movie,Blair Witch,Blair Witch,0,2016,\N,89,"Horror,Mystery,Thriller",blair witch,2016-09-16,Blair Witch,10000000.0,20777061.0,37478274.0,Lionsgate,R,Horror,1,5.0,48752.0,6.903846153846154
224,14144,tt1620935,movie,Bleed for This,Bleed for This,0,2016,\N,117,"Biography,Drama,Sport",bleed for this,2016-11-18,Bleed for This,16000000.0,5083906.0,6603926.0,Open Road,R,Drama,1,6.8,29121.0,5.076923076923077
225,19787,tt2531344,movie,Blockers,Blockers,0,2018,\N,102,"Comedy,Drama",blockers,2018-04-06,Blockers,21000000.0,59839515.0,93442495.0,Universal,R,Comedy,1,6.2,83521.0,11.884615384615385
226,5570,tt0887719,movie,Blonde Ambition,Blonde Ambition,0,2007,\N,93,"Comedy,Romance",blonde ambition,2007-12-21,Blonde Ambition,10000000.0,6422.0,1537479.0,First Look,PG-13,Comedy,1,3.9,6123.0,8.326923076923077
227,2930,tt0450259,movie,Blood Diamond,Blood Diamond,0,2006,\N,143,"Adventure,Drama,Thriller",blood diamond,2006-12-08,Blood Diamond,100000000.0,57377916.0,171377916.0,Warner Bros.,R,Action,1,8.0,575204.0,6.0
228,8922,tt1210039,movie,Blood Done Sign My Name,Blood Done Sign My Name,0,2010,\N,128,Drama,blood done sign my name,2010-02-19,Blood Done Sign My Name,10000000.0,109383.0,109383.0,Paladin,PG-13,Drama,1,6.5,631.0,3.480769230769231
229,15084,tt1747958,movie,Blood Ties,Blood Ties,0,2013,\N,127,"Action,Crime,Drama",blood ties,2014-03-21,Blood Ties,26000000.0,42472.0,2923959.0,Roadside Attractions,R,Drama,1,6.5,20825.0,19.76923076923077
230,2530,tt0397044,movie,Blood and Chocolate,Blood and Chocolate,0,2007,\N,98,"Drama,Fantasy,Horror",blood and chocolate,2007-01-26,Blood and Chocolate,15000000.0,3526588.0,6551310.0,MGM,PG-13,Horror,1,5.3,18161.0,4.711538461538462
231,2415,tt0383222,movie,BloodRayne,BloodRayne,0,2005,\N,95,"Action,Fantasy,Horror",bloodrayne,2006-01-06,BloodRayne,25000000.0,2405420.0,3605420.0,Romar,R,Action,1,3.0,36827.0,27.942307692307693
232,1264,tt0221027,movie,Blow,Blow,0,2001,\N,124,"Biography,Crime,Drama",blow,2001-04-06,Blow,30000000.0,52990775.0,83282296.0,New Line,R,Drama,1,7.5,271199.0,
233,1697,tt0290145,movie,Blue Car,Blue Car,0,2002,\N,96,Drama,blue car,2003-05-02,Blue Car,1000000.0,464126.0,475367.0,Miramax,R,Drama,1,6.6,3663.0,
234,1790,tt0300532,movie,Blue Crush,Blue Crush,0,2002,\N,104,"Drama,Romance,Sport",blue crush,2002-08-16,Blue Crush,30000000.0,40118420.0,51618420.0,Universal,PG-13,Drama,1,5.7,32568.0,
235,18987,tt2334873,movie,Blue Jasmine,Blue Jasmine,0,2013,\N,98,"Comedy,Drama",blue jasmine,2013-07-26,Blue Jasmine,18000000.0,33404871.0,102912961.0,Sony Pictures Classics,PG-13,Comedy,1,7.3,210295.0,4.538461538461538
236,15150,tt1758575,movie,Blue Like Jazz,Blue Like Jazz,0,2012,\N,108,"Comedy,Drama",blue like jazz,2012-04-13,Blue Like Jazz,1200000.0,595018.0,595018.0,Roadside Attractions,PG-13,Comedy,1,5.8,3035.0,7.0
237,7742,tt1120985,movie,Blue Valentine,Blue Valentine,0,2010,\N,112,"Drama,Romance",blue valentine,2010-12-29,Blue Valentine,1000000.0,9737892.0,16566240.0,Weinstein Co.,R,Drama,1,7.3,207555.0,13.153846153846153
238,1656,tt0285462,movie,Boat Trip,Boat Trip,0,2002,\N,94,Comedy,boat trip,2003-03-21,Boat Trip,15000000.0,8586376.0,14933713.0,Artisan,R,Comedy,1,4.9,32121.0,
239,1846,tt0308055,movie,Bobby,Bobby,0,2006,\N,117,"Biography,Drama,History",bobby,2006-11-17,Bobby,14000000.0,11242801.0,20597806.0,MGM,R,Drama,1,7.0,42618.0,63.73076923076923
240,2331,tt0375104,movie,Bobby Jones: Stroke of Genius,Bobby Jones: Stroke of Genius,0,2004,\N,123,"Biography,Drama,Romance",bobby jones stroke of genius,2004-04-30,Bobby Jones: Stroke of Genius,17000000.0,2694071.0,2694071.0,Film Foundry,PG,Drama,1,6.6,4067.0,19.764705882352942
241,2538,tt0397892,movie,Bolt,Bolt,0,2008,\N,96,"Adventure,Animation,Comedy",bolt,2008-11-21,Bolt,150000000.0,114053579.0,328015029.0,Walt Disney,PG,Adventure,1,6.8,224171.0,10.634615384615385
242,1865,tt0310778,movie,Bon Voyage,Bon voyage,0,2003,\N,114,"Comedy,Drama,Mystery",bon voyage,2004-03-19,Bon Voyage,20000000.0,2353728.0,8361736.0,Sony Pictures,PG-13,Comedy,1,6.7,5008.0,68.54545454545455
243,3015,tt0460627,tvSeries,Bones,Bones,0,2005,2017,40,"Crime,Drama,Mystery",bones,2001-10-24,Bones,10000000.0,7316658.0,8378853.0,New Line,R,Horror,1,7.8,171537.0,
244,2162,tt0357507,movie,Boogeyman,Boogeyman,0,2005,\N,89,"Drama,Horror,Mystery",boogeyman,2005-02-04,Boogeyman,20000000.0,46752382.0,67192859.0,Sony Pictures,PG-13,Horror,1,4.2,32312.0,6.211538461538462
245,30325,tt6857166,movie,Book Club,Book Club,0,2018,\N,104,"Comedy,Drama,Romance",book club,2018-05-18,Book Club,10000000.0,68566296.0,89643819.0,Paramount Pictures,PG-13,Comedy,1,6.1,31604.0,21.115384615384617
246,2892,tt0443453,movie,Borat,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,0,2006,\N,84,Comedy,borat,2006-11-03,Borat,18000000.0,128505958.0,261443242.0,20th Century Fox,R,Comedy,1,7.4,432342.0,6.25
247,5679,tt0914797,movie,Bottle Shock,Bottle Shock,0,2008,\N,110,"Comedy,Drama",bottle shock,2008-08-06,Bottle Shock,5000000.0,4078607.0,4815890.0,Freestyle Releasing,PG-13,Drama,1,6.8,17543.0,6.096153846153846
248,6918,tt1065073,movie,Boyhood,Boyhood,0,2014,\N,165,Drama,boyhood,2014-07-11,Boyhood,4000000.0,25379975.0,57273049.0,IFC Films,R,Drama,1,7.9,363773.0,6.923076923076923
249,2495,tt0393109,movie,Brick,Brick,0,2005,\N,110,"Crime,Drama,Mystery",brick,2006-03-31,Brick,450000.0,2075743.0,4243996.0,Focus/Rogue Pictures,R,Drama,1,7.2,109132.0,89.17307692307692
250,5752,tt0940585,movie,Brick Lane,Brick Lane,0,2007,\N,102,Drama,brick lane,2008-06-20,Brick Lane,2500000.0,1094998.0,3838486.0,Sony Pictures Classics,PG-13,Drama,1,6.6,3257.0,55.48076923076923
251,11988,tt1430612,movie,Brick Mansions,Brick Mansions,0,2014,\N,90,"Action,Crime,Thriller",brick mansions,2014-04-25,Brick Mansions,28000000.0,20396829.0,73421224.0,Relativity,PG-13,Action,1,5.6,43681.0,5.519230769230769
252,5630,tt0901476,movie,Bride Wars,Bride Wars,0,2009,\N,89,"Comedy,Romance",bride wars,2009-01-09,Bride Wars,30000000.0,58715510.0,115150424.0,20th Century Fox,PG,Comedy,1,5.5,113347.0,4.365384615384615
253,12643,tt1478338,movie,Bridesmaids,Bridesmaids,0,2011,\N,125,Comedy,bridesmaids,2011-05-13,Bridesmaids,32500000.0,169211718.0,289632023.0,Universal,R,Comedy,1,6.8,304850.0,14.692307692307692
254,2546,tt0398808,movie,Bridge to Terabithia,Bridge to Terabithia,0,2007,\N,96,"Drama,Family,Fantasy",bridge to terabithia,2007-02-16,Bridge to Terabithia,25000000.0,82234139.0,137984788.0,Walt Disney,PG,Drama,1,7.2,168377.0,8.653846153846153
255,5210,tt0810784,movie,Bright Star,Bright Star,0,2009,\N,119,"Biography,Drama,Romance",bright star,2009-09-17,Bright Star,8500000.0,4444637.0,17220091.0,Apparition,PG,Drama,1,6.9,28424.0,30.26923076923077
256,9273,tt1233192,movie,Brighton Rock,Brighton Rock,0,2010,\N,111,"Crime,Drama,Thriller",brighton rock,2011-08-26,Brighton Rock,11000000.0,229653.0,229653.0,IFC Films,R,Drama,1,5.7,6708.0,29.153846153846153
