,Unnamed: 0.1,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index,error_message
0,800.0,9534,tt1253864,movie,Immortals,Immortals,0,2011,\N,110,"Action,Drama,Fantasy",immortals,2011-11-11,Immortals,75000000.0,83504017.0,211562435.0,Relativity,R,Action,1,6.0,174536.0,24.82692307692308,
1,801.0,5052,tt0780536,movie,In Bruges,In Bruges,0,2008,\N,107,"Comedy,Crime,Drama",in bruges,2008-02-08,In Bruges,15000000.0,7800825.0,34533783.0,Focus Features,R,Comedy,1,7.9,453015.0,15.326923076923077,
2,802.0,25501,tt4411618,movie,In Dubious Battle,In Dubious Battle,0,2016,\N,110,"Crime,Drama,History",in dubious battle,2017-02-17,In Dubious Battle,15000000.0,0.0,214182.0,Momentum Pictures,R,Drama,1,6.0,4431.0,12.5,
3,803.0,2433,tt0385267,movie,In Good Company,In Good Company,0,2004,\N,110,"Comedy,Drama,Romance",in good,2004-12-29,In Good Company,26000000.0,45489752.0,63489752.0,Universal,PG-13,Comedy,1,6.5,56203.0,9.384615384615383,
5,805.0,1403,tt0247425,movie,In the Bedroom,In the Bedroom,0,2001,\N,131,"Crime,Drama",in the bedroom,2001-11-23,In the Bedroom,1700000.0,35930604.0,42137871.0,Miramax,R,Drama,1,7.4,41762.0,,The request failed: Google returned a response with code 500
7,807.0,2698,tt0419843,movie,In the Land of Women,In the Land of Women,0,2007,\N,97,"Comedy,Drama,Romance",in the land of women,2007-04-20,In the Land of Women,10500000.0,11052958.0,14140402.0,Warner Bros.,PG-13,Comedy,1,6.4,32448.0,5.461538461538462,
8,808.0,3135,tt0478134,movie,In the Valley of Elah,In the Valley of Elah,0,2007,\N,121,"Crime,Drama,Mystery",in the valley of elah,2007-09-14,In the Valley of Elah,23000000.0,6777741.0,24489150.0,Warner Bros.,R,Drama,1,7.2,74527.0,6.846153846153846,
9,809.0,9558,tt1255953,movie,Incendies,Incendies,0,2010,\N,131,"Drama,Mystery,War",incendies,2010-09-17,Incendies,6800000.0,6857096.0,16038343.0,Sony Pictures Classics,R,Drama,1,8.3,191249.0,10.307692307692308,
10,810.0,14211,tt1628841,movie,Independence Day: Resurgence,Independence Day: Resurgence,0,2016,\N,120,"Action,Adventure,Sci-Fi",independence day resurgence,2016-06-24,Independence Day: Resurgence,165000000.0,103144286.0,384413934.0,20th Century Fox,PG-13,Action,1,5.2,186325.0,5.153846153846154,
11,811.0,2709,tt0420609,movie,Infamous,Infamous,0,2006,\N,110,"Biography,Crime,Drama",infamous,2006-10-13,Infamous,13000000.0,1151330.0,2613717.0,Warner Independent,R,Drama,1,7.0,17974.0,43.78846153846154,
12,812.0,2194,tt0361748,movie,Inglourious Basterds,Inglourious Basterds,0,2009,\N,153,"Adventure,Drama,War",inglourious basterds,2009-08-21,Inglourious Basterds,70000000.0,120774594.0,316915264.0,Weinstein Co.,R,Action,1,8.4,1537533.0,8.865384615384615,
13,813.0,15320,tt1791528,movie,Inherent Vice,Inherent Vice,0,2014,\N,148,"Comedy,Crime,Drama",inherent vice,2014-12-12,Inherent Vice,20000000.0,8110975.0,14772346.0,Warner Bros.,R,Drama,1,6.6,109083.0,11.326923076923077,
14,814.0,3253,tt0494238,movie,Inkheart,Inkheart,0,2008,\N,106,"Adventure,Family,Fantasy",inkheart,2009-01-23,Inkheart,60000000.0,17303424.0,66655938.0,Warner Bros.,PG,Adventure,1,6.1,81210.0,11.076923076923077,
15,815.0,16867,tt2042568,movie,Inside Llewyn Davis,Inside Llewyn Davis,0,2013,\N,104,"Drama,Music",inside llewyn davis,2013-12-06,Inside Llewyn Davis,11000000.0,13248209.0,32943247.0,CBS Films,R,Drama,1,7.4,160642.0,12.096153846153848,
16,816.0,13932,tt1591095,movie,Insidious,Insidious,0,2010,\N,103,"Horror,Mystery,Thriller",insidious,2011-04-01,Insidious,1500000.0,54009150.0,99870886.0,FilmDistrict,R,Horror,1,6.8,332749.0,5.6923076923076925,
17,817.0,5242,tt0816692,movie,Interstellar,Interstellar,0,2014,\N,169,"Adventure,Drama,Sci-Fi",interstellar,2014-11-05,Interstellar,165000000.0,188017894.0,667752422.0,Paramount Pictures,PG-13,Adventure,1,8.7,2011135.0,4.480769230769231,
18,818.0,2364,tt0378109,movie,Into the Blue,Into the Blue,0,2005,\N,110,"Action,Adventure,Crime",into the blue,2005-09-30,Into the Blue,50000000.0,18782227.0,41982227.0,Sony Pictures,PG-13,Adventure,1,5.9,78753.0,8.557692307692308,
19,819.0,4941,tt0758758,movie,Into the Wild,Into the Wild,0,2007,\N,148,"Adventure,Biography,Drama",into the wild,2007-09-21,Into the Wild,20000000.0,18354356.0,56822960.0,Paramount Vantage,R,Drama,1,8.1,646491.0,7.403846153846154,
20,820.0,6820,tt1057500,movie,Invictus,Invictus,0,2009,\N,134,"Action,Adventure,Biography",invictus,2009-12-11,Invictus,60000000.0,37491364.0,124514011.0,Warner Bros.,PG-13,Drama,1,7.3,165938.0,8.096153846153847,
21,821.0,30131,tt6741278,tvSeries,Invincible,Invincible,0,2021,\N,50,"Action,Adventure,Animation",invincible,2006-08-25,Invincible,40000000.0,57806952.0,58501127.0,Walt Disney,PG,Drama,1,8.7,172821.0,19.73076923076923,
22,822.0,1618,tt0280778,movie,Iris,Iris,0,2001,\N,91,"Biography,Drama,Romance",iris,2001-12-14,Iris,5500000.0,5580479.0,15155021.0,Miramax,R,Drama,1,7.0,18923.0,,The request failed: Google returned a response with code 500
23,823.0,9182,tt1228705,movie,Iron Man 2,Iron Man 2,0,2010,\N,124,"Action,Sci-Fi",iron man ,2010-05-07,Iron Man 2,170000000.0,312433331.0,621156389.0,Paramount Pictures,PG-13,Action,1,6.9,852828.0,8.846153846153847,
24,824.0,9279,tt1233301,movie,Ironclad,Ironclad,0,2011,\N,121,"Action,Drama,History",ironclad,2011-07-08,Ironclad,25000000.0,0.0,5297411.0,ARC Entertainment,R,Action,1,6.1,43292.0,41.76923076923077,
25,825.0,11536,tt1396484,movie,It,It,0,2017,\N,135,Horror,it,2017-09-08,It,35000000.0,327481748.0,697459228.0,Warner Bros.,R,Horror,1,7.3,589630.0,76.82692307692308,
26,826.0,26099,tt4695012,movie,It Comes at Night,It Comes at Night,0,2017,\N,91,"Drama,Horror,Mystery",it comes at night,2017-06-09,It Comes at Night,5000000.0,13985117.0,19720203.0,A24,R,Horror,1,6.2,100082.0,3.0576923076923075,
27,827.0,22960,tt3235888,movie,It Follows,It Follows,0,2014,\N,100,"Horror,Mystery,Thriller",it follows,2015-03-13,It Follows,2000000.0,14674077.0,23250755.0,RADiUS-TWC,R,Horror,1,6.8,261840.0,7.9423076923076925,
28,828.0,2464,tt0388139,movie,It's All Gone Pete Tong,It's All Gone Pete Tong,0,2004,\N,90,"Biography,Comedy,Drama",its all gone pete tong,2005-04-15,It's All Gone Pete Tong,2000000.0,120620.0,2226603.0,Matson,R,Drama,1,7.2,20505.0,10.538461538461538,
29,829.0,5182,tt0804497,movie,It's Kind of a Funny Story,It's Kind of a Funny Story,0,2010,\N,101,"Comedy,Drama,Romance",its kind of a funny story,2010-10-08,It's Kind of a Funny Story,8000000.0,6363628.0,6632950.0,Focus Features,PG-13,Comedy,1,7.1,146788.0,5.865384615384615,
30,830.0,10455,tt1319716,movie,It's a Wonderful Afterlife,It's a Wonderful Afterlife,0,2010,\N,100,"Comedy,Drama,Fantasy",its a wonderful afterlife,2010-10-08,It's a Wonderful Afterlife,10000000.0,0.0,1642939.0,UTV Communications,PG-13,Comedy,1,5.4,1673.0,12.134615384615383,
31,831.0,14118,tt1616195,movie,J. Edgar,J. Edgar,0,2011,\N,137,"Biography,Drama,Romance",j edgar,2011-11-09,J. Edgar,35000000.0,37306030.0,84606030.0,Warner Bros.,R,Drama,1,6.5,132300.0,14.98076923076923,
32,832.0,5098,tt0790724,movie,Jack Reacher,Jack Reacher,0,2012,\N,130,"Action,Mystery,Thriller",jack reacher,2012-12-21,Jack Reacher,60000000.0,80070736.0,217370736.0,Paramount Pictures,PG-13,Drama,1,7.0,357587.0,8.442307692307692,
33,833.0,23307,tt3393786,movie,Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,0,2016,\N,118,"Action,Crime,Drama",jack reacher never go back,2016-10-21,Jack Reacher: Never Go Back,60000000.0,58697076.0,160038407.0,Paramount Pictures,PG-13,Action,1,6.1,170594.0,5.480769230769231,
34,834.0,8858,tt1205537,movie,Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit,0,2014,\N,105,"Action,Drama,Thriller",jack ryan shadow recruit,2014-01-17,Jack Ryan: Shadow Recruit,60000000.0,50577412.0,131377412.0,Paramount Pictures,PG-13,Action,1,6.2,136747.0,4.096153846153846,
35,835.0,5212,tt0810913,movie,Jack and Jill,Jack and Jill,0,2011,\N,91,Comedy,jack and jill,2011-11-11,Jack and Jill,79000000.0,74158157.0,150519217.0,Sony Pictures,PG,Comedy,1,3.3,88912.0,22.653846153846157,
36,836.0,7669,tt1116184,movie,Jackass 3D,Jackass 3D,0,2010,\N,94,"Action,Comedy,Documentary",jackass d,2010-10-15,Jackass 3D,20000000.0,117229692.0,171685793.0,Paramount Pictures,R,Comedy,1,7.0,68040.0,7.115384615384615,
37,837.0,22598,tt3063516,movie,Jackass Presents: Bad Grandpa,Bad Grandpa,0,2013,\N,92,Comedy,jackass presents bad grandpa,2013-10-25,Jackass Presents: Bad Grandpa,15000000.0,102003019.0,160903019.0,Paramount Pictures,R,Comedy,1,6.5,97497.0,7.8076923076923075,
38,838.0,1949,tt0322802,movie,Jackass: The Movie,Jackass: The Movie,0,2002,\N,85,"Action,Comedy,Documentary",jackass the movie,2002-10-25,Jackass: The Movie,5000000.0,64282312.0,79282312.0,Paramount Pictures,R,Comedy,1,6.6,100715.0,,The request failed: Google returned a response with code 500
39,839.0,14140,tt1619029,movie,Jackie,Jackie,0,2016,\N,100,"Biography,Drama",jackie,2016-12-02,Jackie,9000000.0,13960394.0,29345883.0,Fox Searchlight,R,Drama,1,6.7,82484.0,81.0,
42,842.0,11296,tt13790566,tvEpisode,Janky Promoters,Janky Promoters,0,2021,\N,\N,Reality-TV,janky promoters,2009-10-16,Janky Promoters,10000000.0,9069.0,9069.0,Third Rail,R,Comedy,1,,,17.807692307692307,
43,843.0,2687,tt0418763,movie,Jarhead,Jarhead,0,2005,\N,125,"Biography,Drama,War",jarhead,2005-11-04,Jarhead,72000000.0,62647540.0,96947540.0,Universal,R,Drama,1,7.0,202155.0,4.557692307692308,
44,844.0,25115,tt4196776,movie,Jason Bourne,Jason Bourne,0,2016,\N,123,"Action,Thriller",jason bourne,2016-07-29,Jason Bourne,120000000.0,162192920.0,416197059.0,Universal,PG-13,Action,1,6.6,237935.0,5.288461538461538,
46,846.0,1487,tt0261392,movie,Jay and Silent Bob Strike Back,Jay and Silent Bob Strike Back,0,2001,\N,104,Comedy,jay and silent bob strike back,2001-08-24,Jay and Silent Bob Strike Back,22000000.0,30059386.0,33762400.0,Miramax/Dimension,R,Comedy,1,6.8,159451.0,,The request failed: Google returned a response with code 500
48,848.0,13914,tt1588334,movie,"Jeff, Who Lives at Home","Jeff, Who Lives at Home",0,2011,\N,83,"Comedy,Drama",jeff who lives at home,2012-03-16,"Jeff, Who Lives at Home",10000000.0,4269426.0,4708127.0,Paramount Vantage,R,Comedy,1,6.4,65186.0,4.75,
49,849.0,15042,tt1742044,movie,Jersey Boys,Jersey Boys,0,2014,\N,134,"Biography,Drama,Music",jersey boys,2014-06-20,Jersey Boys,40000000.0,47047013.0,65282732.0,Warner Bros.,R,Drama,1,6.8,36189.0,12.673076923076923,
51,851.0,23239,tt3348730,movie,Jigsaw,Jigsaw,0,2017,\N,92,"Horror,Mystery,Thriller",jigsaw,2017-10-27,Jigsaw,10000000.0,38052832.0,102499582.0,Lionsgate,R,Horror,1,5.7,89378.0,24.53846153846154,
53,853.0,2752,tt0425151,movie,Jimmy and Judy,Jimmy and Judy,0,2006,\N,99,"Crime,Drama,Thriller",jimmy and judy,2006-09-15,Jimmy and Judy,1000000.0,0.0,0.0,Outrider Pictures,R,Action,1,5.8,1637.0,13.75,
56,856.0,20668,tt27453564,tvEpisode,Jodaeiye Nader az Simin,Jodaeiye Nader az Simin,0,2019,\N,\N,Talk-Show,jodaeiye nader az simin,2011-12-30,Jodaeiye Nader az Simin,800000.0,7098492.0,24426169.0,Sony Pictures Classics,PG-13,Drama,1,,,38.46153846153846,
58,858.0,1386,tt0245686,movie,Joe Dirt,Joe Dirt,0,2001,\N,91,"Adventure,Comedy,Drama",joe dirt,2001-04-11,Joe Dirt,16000000.0,27087695.0,30987695.0,Sony Pictures,PG-13,Comedy,1,6.0,60006.0,,The request failed: Google returned a response with code 500
60,860.0,1426,tt0251160,movie,John Q,John Q,0,2002,\N,116,"Crime,Drama,Thriller",john q,2002-02-15,John Q,36000000.0,71026631.0,102226631.0,New Line,PG-13,Drama,1,7.1,141312.0,,The request failed: Google returned a response with code 500
61,861.0,21751,tt2911666,movie,John Wick,John Wick,0,2014,\N,101,"Action,Crime,Thriller",john wick,2014-10-24,John Wick,30000000.0,43037835.0,76235001.0,Lionsgate,R,Action,1,7.4,719166.0,3.4423076923076925,
63,863.0,14252,tt1634122,movie,Johnny English Reborn,Johnny English Reborn,0,2011,\N,101,"Action,Adventure,Comedy",johnny english reborn,2011-10-21,Johnny English Reborn,45000000.0,8406711.0,164640401.0,Universal,PG,Adventure,1,6.3,138323.0,11.615384615384617,
64,864.0,2176,tt0359517,movie,Johnson Family Vacation,Johnson Family Vacation,0,2004,\N,97,Comedy,johnson family vacation,2004-04-07,Johnson Family Vacation,12000000.0,31203964.0,31286759.0,Fox Searchlight,PG-13,Comedy,1,4.5,8243.0,15.928571428571429,
65,865.0,7046,tt1075747,movie,Jonah Hex,Jonah Hex,0,2010,\N,81,"Action,Drama,Fantasy",jonah hex,2010-06-18,Jonah Hex,47000000.0,10547117.0,11022696.0,Warner Bros.,PG-13,Action,1,4.7,60997.0,12.788461538461538,
67,867.0,1332,tt0236348,movie,Josie and the Pussycats,Josie and the Pussycats,0,2001,\N,98,"Comedy,Music",josie and the pussycats,2001-04-11,Josie and the Pussycats,22000000.0,14252830.0,14252830.0,Universal,PG-13,Comedy,1,5.6,24389.0,,The request failed: Google returned a response with code 500
69,869.0,2819,tt0433398,movie,Journey from the Fall,Journey from the Fall,0,2006,\N,135,Drama,journey from the fall,2007-03-23,Journey from the Fall,1300000.0,635305.0,635305.0,Imaginasian,R,Drama,1,7.2,937.0,15.057692307692308,
70,870.0,2315,tt0373051,movie,Journey to the Center of the Earth,Journey to the Center of the Earth,0,2008,\N,93,"Action,Adventure,Family",journey to the center of the earth,2008-07-11,Journey to the Center of the Earth,45000000.0,101704370.0,243180937.0,Warner Bros.,PG,Adventure,1,5.8,129319.0,7.211538461538462,
71,871.0,19582,tt2446980,movie,Joy,Joy,0,2015,\N,124,"Biography,Drama",joy,2015-12-25,Joy,60000000.0,56451232.0,101134059.0,20th Century Fox,PG-13,Drama,1,6.6,142770.0,42.17307692307692,
72,872.0,3523,tt0530647,tvEpisode,Joyeux Noël,Joyeux Noël,0,2004,\N,\N,Comedy,joyeux nol,2006-03-03,Joyeux Noël,22000000.0,1054361.0,23134075.0,Sony Pictures Classics,PG-13,Drama,1,8.2,6.0,7.096153846153846,
73,873.0,7973,tt1135503,movie,Julie & Julia,Julie & Julia,0,2009,\N,123,"Biography,Drama,Romance",julie  julia,2009-08-07,Julie & Julia,40000000.0,94125426.0,126646119.0,Sony Pictures,PG-13,Comedy,1,7.0,126675.0,4.384615384615385,
74,874.0,18663,tt2283362,movie,Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,0,2017,\N,119,"Action,Adventure,Comedy",jumanji welcome to the jungle,2017-12-20,Jumanji: Welcome to the Jungle,90000000.0,404508916.0,961758540.0,Sony Pictures,PG-13,Adventure,1,6.9,408711.0,6.153846153846154,
75,875.0,3218,tt0489099,movie,Jumper,Jumper,0,2008,\N,88,"Action,Adventure,Sci-Fi",jumper,2008-02-14,Jumper,82500000.0,80172128.0,222640812.0,20th Century Fox,PG-13,Adventure,1,6.1,318863.0,18.365384615384617,
76,876.0,2688,tt0418773,movie,Junebug,Junebug,0,2005,\N,106,"Comedy,Drama",junebug,2005-08-03,Junebug,1000000.0,2678010.0,3553253.0,Sony Pictures Classics,R,Drama,1,6.9,23284.0,16.615384615384617,
77,877.0,3072,tt0467406,movie,Juno,Juno,0,2007,\N,96,"Comedy,Drama",juno,2007-12-05,Juno,7000000.0,143495265.0,231450102.0,Fox Searchlight,PG-13,Comedy,1,7.5,541774.0,51.32692307692308,
79,879.0,26428,tt4881806,movie,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,0,2018,\N,128,"Action,Adventure,Sci-Fi",jurassic world fallen kingdom,2018-06-22,Jurassic World: Fallen Kingdom,170000000.0,416769345.0,1304866322.0,Universal,PG-13,Action,1,6.1,336044.0,6.057692307692308,
80,880.0,28116,tt5721088,movie,Just Getting Started,Just Getting Started,0,2017,\N,91,"Comedy,Crime",just getting started,2017-12-08,Just Getting Started,22000000.0,6069605.0,6756452.0,Broad Green Pictures,PG-13,Comedy,1,4.6,8076.0,3.2884615384615383,
81,881.0,1108,tt0189192,movie,Just Visiting,Just Visiting,0,2001,\N,88,"Adventure,Comedy,Fantasy",just visiting,2001-04-06,Just Visiting,40000000.0,4777007.0,16172200.0,Walt Disney,PG-13,Comedy,1,5.7,19945.0,,The request failed: Google returned a response with code 500
82,882.0,1404,tt0247444,movie,Juwanna Mann,Juwanna Mann,0,2002,\N,91,"Comedy,Drama,Romance",juwanna mann,2002-06-21,Juwanna Mann,15600000.0,13571817.0,13771817.0,Warner Bros.,PG-13,Comedy,1,4.7,6979.0,,The request failed: Google returned a response with code 500
83,883.0,288,tt0057212,movie,Jûsan-nin no shikaku,Jûsan-nin no shikaku,0,1963,\N,125,"Action,Adventure",jsannin no shikaku,2011-04-29,Jûsan-nin no shikaku,6000000.0,802778.0,18727440.0,Magnolia Pictures,R,Action,1,7.4,1027.0,23.46153846153846,
85,885.0,1552,tt0272152,movie,K-PAX,K-PAX,0,2001,\N,120,"Drama,Mystery,Sci-Fi",kpax,2001-08-13,K-PAX,48000000.0,50315140.0,50315140.0,Universal,PG-13,Drama,1,7.4,190809.0,,The request failed: Google returned a response with code 500
87,887.0,24958,tt4139124,movie,Keanu,Keanu,0,2016,\N,100,"Action,Comedy,Crime",keanu,2016-04-29,Keanu,15000000.0,20591853.0,20688141.0,Warner Bros.,R,Comedy,1,6.2,51323.0,26.28846153846154,
88,888.0,2668,tt0415949,movie,Keeping Up with the Steins,Keeping Up with the Steins,0,2006,\N,90,Comedy,keeping up with the steins,2006-05-12,Keeping Up with the Steins,5000000.0,4339241.0,4414753.0,Miramax,PG-13,Comedy,1,5.4,3296.0,6.5,
89,889.0,14420,tt1650554,movie,Kick-Ass 2,Kick-Ass 2,0,2013,\N,103,"Action,Comedy,Crime",kickass ,2013-08-16,Kick-Ass 2,28000000.0,28795985.0,63129909.0,Universal,R,Action,1,6.5,284251.0,12.26923076923077,
90,890.0,25209,tt4254584,movie,Kicks,Kicks,0,2016,\N,80,"Adventure,Drama",kicks,2016-09-09,Kicks,10000000.0,150191.0,150191.0,Focus World,R,Adventure,1,6.4,4466.0,79.01923076923077,
91,891.0,11829,tt1416801,movie,Kill the Irishman,Kill the Irishman,0,2011,\N,106,"Biography,Crime,Drama",kill the irishman,2011-03-11,Kill the Irishman,12000000.0,1188194.0,1188194.0,Anchor Bay Entertai…,R,Drama,1,7.0,50475.0,5.961538461538462,
