,Unnamed: 0.1,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index,error_message
4,804.0,3209,tt0487156,movie,In Her Line of Fire,In Her Line of Fire,0,2006,\N,88,"Action,Drama",in her line of fire,2006-04-21,In Her Line of Fire,1000000.0,884.0,884.0,Regent Releasing,R,Action,1,3.6,1074.0,3.1153846153846154,
6,806.0,11460,tt1390411,movie,In the Heart of the Sea,In the Heart of the Sea,0,2015,\N,122,"Action,Adventure,Biography",in the heart of the sea,2015-12-11,In the Heart of the Sea,100000000.0,25020758.0,89693309.0,Warner Bros.,PG-13,Adventure,1,6.9,146203.0,5.230769230769231,The request failed: Google returned a response with code 429
40,840.0,15425,tt1809231,movie,Jackpot,Arme Riddere,0,2011,\N,86,"Action,Comedy,Crime",jackpot,2001-07-27,Jackpot,400000.0,44452.0,44452.0,,R,Drama,1,6.6,3376.0,,The request failed: Google returned a response with code 429
41,841.0,10494,tt13222512,tvEpisode,Jagten,Jagten,0,2020,\N,41,"Crime,Drama,Mystery",jagten,2013-05-17,Jagten,3450000.0,687185.0,18309793.0,Magnolia Pictures,R,Drama,1,7.3,283.0,,The request failed: Google returned a response with code 429
45,845.0,1204,tt0211443,movie,Jason X,Jason X,0,2001,\N,92,"Action,Horror,Sci-Fi",jason x,2002-04-26,Jason X,14000000.0,13121555.0,16951798.0,New Line,R,Horror,1,4.4,60445.0,5.846153846153846,The request failed: Google returned a response with code 500
47,847.0,1499,tt0263488,movie,Jeepers Creepers,Jeepers Creepers,0,2001,\N,90,"Horror,Mystery",jeepers creepers,2001-08-31,Jeepers Creepers,10000000.0,37904175.0,58939035.0,MGM,R,Horror,1,6.2,139482.0,6.5576923076923075,The request failed: Google returned a response with code 429
50,850.0,1785,tt0300051,movie,Jersey Girl,Jersey Girl,0,2004,\N,102,"Comedy,Drama,Romance",jersey girl,2004-03-26,Jersey Girl,35000000.0,25266129.0,37066129.0,Miramax,PG-13,Comedy,1,6.2,68671.0,29.25,The request failed: Google returned a response with code 429
52,852.0,1529,tt0268397,movie,Jimmy Neutron: Boy Genius,Jimmy Neutron: Boy Genius,0,2001,\N,82,"Action,Adventure,Animation",jimmy neutron boy genius,2001-12-21,Jimmy Neutron: Boy Genius,25000000.0,80936232.0,102992536.0,Paramount Pictures,G,Adventure,1,6.1,37241.0,,The request failed: Google returned a response with code 500
54,854.0,2406,tt0382765,movie,Jindabyne,Jindabyne,0,2006,\N,123,"Crime,Drama,Mystery",jindabyne,2007-04-27,Jindabyne,10800000.0,399879.0,2862544.0,Sony Pictures Classics,R,Drama,1,6.3,7009.0,,The request failed: Google returned a response with code 429
55,855.0,19104,tt2357129,movie,Jobs,Jobs,0,2013,\N,128,"Biography,Drama",jobs,2013-08-16,Jobs,18000000.0,16131410.0,43402515.0,Open Road,PG-13,Drama,1,6.0,101835.0,,The request failed: Google returned a response with code 429
